"","reduced_data$member_casual","reduced_data$day_of_week","reduced_data$trip_length"
"1","casual","Friday",27.0019984105075
"2","member","Friday",12.7944386130109
"3","casual","Monday",26.0596617692481
"4","member","Monday",12.712493407164
"5","casual","Saturday",30.226059575575
"6","member","Saturday",14.6905381552456
"7","casual","Sunday",31.1801507711488
"8","member","Sunday",14.7916415024801
"9","casual","Thursday",23.9672734271538
"10","member","Thursday",12.6743699444349
"11","casual","Tuesday",23.5529513276751
"12","member","Tuesday",12.8118049167841
"13","casual","Wednesday",23.4897669470746
"14","member","Wednesday",12.9698542909795
